s, 	 Rs, 	 dRs
0.66666666666666662966, 	-1.4619047619047620401, 	9.8163265306122440279
0.67676767676767679571, 	-1.3603224176039709903, 	10.298649522204275542
0.68686868686868685074, 	-1.2538226156464180594, 	10.789450298488565849
0.6969696969696970168, 	-1.1423370394593412858, 	11.285181926401325114
0.70707070707070707183, 	-1.0258368812087819144, 	11.781558636705142362
0.71717171717171712686, 	-0.90434058777355152969, 	12.273501886247567327
0.72727272727272729291, 	-0.77792207792207768158, 	12.755102040816328923
0.73737373737373734794, 	-0.6467192397128707082, 	13.219602401388970137
0.747474747474747514, 	-0.51094244508878605693, 	13.659413071255842809
0.75757575757575756903, 	-0.3708827404479582146, 	14.066162570888467442
0.76767676767676762406, 	-0.22691929232684771023, 	14.430794951958224814
0.77777777777777779011, 	-0.079525593008739403622, 	14.743719227370286617
0.78787878787878784514, 	0.070726129216694966217, 	14.995016019935922813
0.7979797979797980112, 	0.22316288556890118144, 	15.174703291910926595
0.80808080808080806623, 	0.3770118770118763285, 	15.273058809322550999
0.81818181818181823228, 	0.53140495867768688942, 	15.280991735537192255
0.82828282828282828731, 	0.68538705129094146251, 	15.190449758861388929
0.83838383838383834235, 	0.83792876377276759303, 	14.994841986716018312
0.8484848484848485084, 	0.98794326241134788891, 	14.689452240832958196
0.85858585858585856343, 	1.1343071432891789208, 	14.271813259708132193
0.86868686868686872948, 	1.275884755545773297, 	13.742010564639530301
0.87878787878787878451, 	1.4115551115551117078, 	13.102886124864149053
0.88888888888888883955, 	1.5402402402402404213, 	12.360116873630396128
0.8989898989898990056, 	1.6609336272714823046, 	11.522151489765420251
0.90909090909090906063, 	1.7727272727272729291, 	10.600000000000004974
0.91919191919191922668, 	1.8748359052921328427, 	9.6068834657856427839
0.92929292929292928171, 	1.9666170302533938496, 	8.5577637051838557625
0.93939393939393944777, 	2.0475857475857477397, 	7.4687839632894528208
0.9494949494949495028, 	2.1174236309829530533, 	6.3566591819146509579
0.95959595959595955783, 	2.1759813705921491334, 	5.2380580157051204182
0.96969696969696972388, 	2.2232753062540293598, 	4.1290176550475301553
0.97979797979797977892, 	2.2594783692571818179, 	3.0444272179389377797
0.98989898989898994497, 	2.2849062709474616817, 	1.9976069414407520153
1, 	2.3000000000000002665, 	1
