s, 	 Rs, 	 dRs
0.3232323232323232598, 	-1.8299322888685607413, 	1.4186529934435661016
0.33333333333333331483, 	-1.8154471544715446996, 	1.4497323022010706328
0.34343434343434342537, 	-1.8006379046419591639, 	1.4828502061150414804
0.35353535353535353591, 	-1.7854832549747803316, 	1.5181453333310668263
0.36363636363636364646, 	-1.769960474308300391, 	1.5557655954631379736
0.373737373737373757, 	-1.7540452884746886575, 	1.5958686771888959122
0.38383838383838381203, 	-1.7377117791460421348, 	1.638622516195888057
0.39393939393939392257, 	-1.7209322779243620971, 	1.6842057629785365247
0.40404040404040403311, 	-1.7036772559431168084, 	1.7328082073000423691
0.41414141414141414366, 	-1.6859152093969904662, 	1.784631154914479767
0.4242424242424242542, 	-1.6676125416009806024, 	1.8398877343045205723
0.43434343434343436474, 	-1.6487334424068440519, 	1.898803108632629133
0.44444444444444441977, 	-1.6292397660818709326, 	1.9616145627225953785
0.45454545454545453032, 	-1.6090909090909091272, 	2.0285714285714284699
0.46464646464646464086, 	-1.5882436896275204941, 	2.0999348055225928178
0.4747474747474747514, 	-1.5666522312253787774, 	2.1759770226954198158
0.48484848484848486194, 	-1.5442678533587623768, 	2.2569807814563058734
0.49494949494949497248, 	-1.5210389726246809072, 	2.3432379045495137504
0.50505050505050508303, 	-1.4969110189027199365, 	2.4350476059296504161
0.51515151515151513806, 	-1.471826371826371993, 	2.532714181362829553
0.52525252525252530411, 	-1.4457243239851931271, 	2.6365440045853607565
0.53535353535353535914, 	-1.418541078522721266, 	2.7468416974495371008
0.54545454545454541417, 	-1.390209790209790075, 	2.8639053254437860652
0.55555555555555558023, 	-1.3606606606606606036, 	2.9880204528853169244
0.56565656565656563526, 	-1.3298211001161155398, 	3.1194528758994453099
0.57575757575757580131, 	-1.2976159701278182634, 	3.2584398373801128912
0.58585858585858585634, 	-1.2639679235099081644, 	3.4051795183430861869
0.59595959595959591137, 	-1.2287978600231563853, 	3.5598185969383751015
0.60606060606060607743, 	-1.1920255183413075439, 	3.7224376731301926924
0.61616161616161613246, 	-1.1535702267985730174, 	3.8930343777847302711
0.62626262626262629851, 	-1.1133518370657644603, 	4.0715040246595997075
0.63636363636363635354, 	-1.071291866028708073, 	4.2576177285318550503
0.6464646464646465196, 	-1.0273148714602275966, 	4.4509980092346879132
0.65656565656565657463, 	-0.98135008622813513224, 	4.6510920370527735201
0.66666666666666662966, 	-0.93333333333333334814, 	4.8571428571428549859
0.67676767676767679571, 	-0.88320923951991892054, 	5.0681591659643689951
0.68686868686868685074, 	-0.8309337579816714614, 	5.2828845055887461157
0.6969696969696970168, 	-0.7764770002180073627, 	5.4997670928005790714
0.70707070707070707183, 	-0.7198263628015693083, 	5.7169319035584980071
0.71717171717171712686, 	-0.66098991624183789373, 	5.9321570752333094845
0.72727272727272729291, 	-0.59999999999999975575, 	6.1428571428571423496
0.73737373737373734794, 	-0.53691694010165358364, 	6.3460760506076727694
0.747474747474747514, 	-0.47183277427179848296, 	6.5384932186744295635
0.75757575757575756903, 	-0.40487483530961798639, 	6.7164461247637028407
0.76767676767676762406, 	-0.33620900857481417212, 	6.875972791481721913
0.77777777777777779011, 	-0.2660424469413233961, 	7.0128771619744982857
0.78787878787878784514, 	-0.19462550028587788375, 	7.1228195087219638992
0.7979797979797980112, 	-0.1222526011999695017, 	7.2014326902110283868
0.80808080808080806623, 	-0.049261849261849510739, 	7.2444632290786143969
0.81818181818181823228, 	0.023966942148760717046, 	7.2479338842975193913
0.82828282828282828731, 	0.097015925848877748727, 	7.2083217695018557691
0.83838383838383834235, 	0.16943474324149487842, 	7.1227433691882566791
0.8484848484848485084, 	0.2407479045776920179, 	6.9891353553644171015
0.85858585858585856343, 	0.31046392064356120866, 	6.8064183011223065023
0.86868686868686872948, 	0.37808594418763963318, 	6.5746296220297928414
0.87878787878787878451, 	0.44312354312354318431, 	6.2950126796280629904
0.88888888888888883955, 	0.50510510510510497895, 	5.9700511322132969738
0.8989898989898990056, 	0.56359028011309164619, 	5.6034412767723695836
0.90909090909090906063, 	0.61818181818181827669, 	5.2000000000000010658
0.91919191919191922668, 	0.66853616311076280443, 	4.7655115162812178298
