s, 	 Rs, 	 dRs
0.6969696969696970168, 	-0.13689357807004864931, 	3.6589104769222591251
0.70707070707070707183, 	-0.10055862579813124036, 	3.535365776733883969
0.71717171717171712686, 	-0.065472059652317504685, 	3.4118161572325882425
0.72727272727272729291, 	-0.031631382316313572112, 	3.2887596171889654784
0.73737373737373734794, 	0.00097073987165585684522, 	3.1666555028733340826
0.747474747474747514, 	0.032346080043178959684, 	3.0459233455861456363
0.75757575757575756903, 	0.062510445529313285462, 	2.9269423514021921662
0.76767676767676762406, 	0.091483270452342391188, 	2.810051476585744723
0.77777777777777779011, 	0.11928721174004197625, 	2.6955500177999285327
0.78787878787878784514, 	0.14594775339602916731, 	2.5836986444708687216
0.7979797979797980112, 	0.17149282312661340288, 	2.4747208011195458432
0.80808080808080806623, 	0.19595242470556761827, 	2.3688044097627791729
0.81818181818181823228, 	0.21935828877005381088, 	2.2661038062283735961
0.82828282828282828731, 	0.24174354409631737539, 	2.1667418490632242012
0.83838383838383834235, 	0.26314241081210987261, 	2.0708121452997274581
0.8484848484848485084, 	0.28358991647001552394, 	1.9783813433850636621
0.85858585858585856343, 	0.3031216354353396536, 	1.8894914498113450918
0.86868686868686872948, 	0.32177345163465465028, 	1.8041621321973169145
0.87878787878787878451, 	0.33958134436547493529, 	1.7223929775927262487
0.88888888888888883955, 	0.35658119658119658002, 	1.6441656804733726371
0.8989898989898990056, 	0.37280862483455678991, 	1.569446140174275417
0.90909090909090906063, 	0.38829882988298825008, 	1.4981864523085968166
0.91919191919191922668, 	0.40308646682523252558, 	1.4303267830070849342
0.92929292929292928171, 	0.41720553354524947398, 	1.3657971185755259924
0.93939393939393944777, 	0.43068927618150421033, 	1.3045188864130572437
0.9494949494949495028, 	0.44357011031201298845, 	1.2464064457828356591
0.95959595959595955783, 	0.45587955654319989307, 	1.1913684493092167038
0.96969696969696972388, 	0.46764818920916484402, 	1.1393090779298031823
0.97979797979797977892, 	0.47890559692323209084, 	1.090129153497716441
0.98989898989898994497, 	0.48968035377197272062, 	1.0437271343524714418
1, 	0.5, 	1
