s, 	 Rs, 	 dRs
0.58585858585858585634, 	0.48625513587345647881, 	6.4975531847841985211
0.59595959595959591137, 	0.55365683942758980862, 	6.8510139358591448655
0.60606060606060607743, 	0.62472089314194589882, 	7.2227146814404425967
0.61616161616161613246, 	0.69963168939546871439, 	7.6126500063651008077
0.62626262626262629851, 	0.77857242436916218598, 	8.0205806277933753279
0.63636363636363635354, 	0.86172248803827722341, 	8.4459833795013850022
0.6464646464646465196, 	0.94925431977921914672, 	8.8879954496792876739
0.65656565656565657463, 	1.0413296730369898668, 	9.3453532275492001702
0.66666666666666662966, 	1.1380952380952378267, 	9.8163265306122440279
0.67676767676767679571, 	1.2396775823960290985, 	10.298649522204275542
0.68686868686868685074, 	1.3461773843535818074, 	10.789450298488565849
0.6969696969696970168, 	1.457662960540658581, 	11.285181926401325114
0.70707070707070707183, 	1.5741631187912179524, 	11.781558636705142362
0.71717171717171712686, 	1.6956594122264485591, 	12.273501886247567327
0.72727272727272729291, 	1.8220779220779221852, 	12.755102040816328923
0.73737373737373734794, 	1.9532807602871293806, 	13.219602401388970137
0.747474747474747514, 	2.0890575549112138098, 	13.659413071255842809
0.75757575757575756903, 	2.2291172595520416522, 	14.066162570888467442
0.76767676767676762406, 	2.3730807076731519345, 	14.430794951958224814
0.77777777777777779011, 	2.5204744069912607962, 	14.743719227370286617
0.78787878787878784514, 	2.670726129216694833, 	14.995016019935922813
0.7979797979797980112, 	2.8231628855689012703, 	15.174703291910926595
0.80808080808080806623, 	2.9770118770118760843, 	15.273058809322550999
0.81818181818181823228, 	3.1314049586776864231, 	15.280991735537192255
0.82828282828282828731, 	3.2853870512909413293, 	15.190449758861388929
0.83838383838383834235, 	3.4379287637727675708, 	14.994841986716018312
0.8484848484848485084, 	3.5879432624113478667, 	14.689452240832958196
0.85858585858585856343, 	3.7343071432891790096, 	14.271813259708132193
0.86868686868686872948, 	3.8758847555457731637, 	13.742010564639530301
0.87878787878787878451, 	4.0115551115551113526, 	13.102886124864149053
0.88888888888888883955, 	4.1402402402402405102, 	12.360116873630396128
0.8989898989898990056, 	4.2609336272714823934, 	11.522151489765420251
0.90909090909090906063, 	4.3727272727272721298, 	10.600000000000004974
0.91919191919191922668, 	4.4748359052921324874, 	9.6068834657856427839
0.92929292929292928171, 	4.5666170302533943826, 	8.5577637051838557625
0.93939393939393944777, 	4.6475857475857473844, 	7.4687839632894528208
0.9494949494949495028, 	4.7174236309829531422, 	6.3566591819146509579
0.95959595959595955783, 	4.7759813705921496663, 	5.2380580157051204182
0.96969696969696972388, 	4.8232753062540290045, 	4.1290176550475301553
0.97979797979797977892, 	4.8594783692571814626, 	3.0444272179389377797
0.98989898989898994497, 	4.8849062709474617705, 	1.9976069414407520153
1, 	4.9000000000000003553, 	1
