s, 	 Rs, 	 dRs
0.51515151515151513806, 	-2.2718263718263718154, 	2.532714181362829553
0.52525252525252530411, 	-2.2457243239851933936, 	2.6365440045853607565
0.53535353535353535914, 	-2.2185410785227213104, 	2.7468416974495371008
0.54545454545454541417, 	-2.1902097902097903415, 	2.8639053254437860652
0.55555555555555558023, 	-2.16066066066066087, 	2.9880204528853169244
0.56565656565656563526, 	-2.1298211001161155842, 	3.1194528758994453099
0.57575757575757580131, 	-2.0976159701278183078, 	3.2584398373801128912
0.58585858585858585634, 	-2.0639679235099084309, 	3.4051795183430861869
0.59595959595959591137, 	-2.0287978600231566517, 	3.5598185969383751015
0.60606060606060607743, 	-1.9920255183413075883, 	3.7224376731301926924
0.61616161616161613246, 	-1.9535702267985732838, 	3.8930343777847302711
0.62626262626262629851, 	-1.9133518370657642826, 	4.0715040246595997075
0.63636363636363635354, 	-1.8712918660287081174, 	4.2576177285318550503
0.6464646464646465196, 	-1.827314871460227641, 	4.4509980092346879132
0.65656565656565657463, 	-1.7813500862281350656, 	4.6510920370527735201
0.66666666666666662966, 	-1.7333333333333333925, 	4.8571428571428549859
0.67676767676767679571, 	-1.6832092395199189649, 	5.0681591659643689951
0.68686868686868685074, 	-1.6309337579816713948, 	5.2828845055887461157
0.6969696969696970168, 	-1.5764770002180075181, 	5.4997670928005790714
0.70707070707070707183, 	-1.5198263628015693527, 	5.7169319035584980071
0.71717171717171712686, 	-1.4609899162418380492, 	5.9321570752333094845
0.72727272727272729291, 	-1.3999999999999999112, 	6.1428571428571423496
0.73737373737373734794, 	-1.336916940101653628, 	6.3460760506076727694
0.747474747474747514, 	-1.2718327742717985274, 	6.5384932186744295635
0.75757575757575756903, 	-1.2048748353096181418, 	6.7164461247637028407
0.76767676767676762406, 	-1.1362090085748142165, 	6.875972791481721913
0.77777777777777779011, 	-1.0660424469413234405, 	7.0128771619744982857
0.78787878787878784514, 	-0.99462550028587792816, 	7.1228195087219638992
0.7979797979797980112, 	-0.92225260119996954611, 	7.2014326902110283868
0.80808080808080806623, 	-0.84926184926184955515, 	7.2444632290786143969
0.81818181818181823228, 	-0.77603305785123932736, 	7.2479338842975193913
0.82828282828282828731, 	-0.70298407415112229568, 	7.2083217695018557691
0.83838383838383834235, 	-0.63056525675850516599, 	7.1227433691882566791
0.8484848484848485084, 	-0.55925209542230802651, 	6.9891353553644171015
0.85858585858585856343, 	-0.48953607935643883575, 	6.8064183011223065023
0.86868686868686872948, 	-0.42191405581236041122, 	6.5746296220297928414
0.87878787878787878451, 	-0.3568764568764568601, 	6.2950126796280629904
0.88888888888888883955, 	-0.29489489489489506546, 	5.9700511322132969738
0.8989898989898990056, 	-0.23640971988690839822, 	5.6034412767723695836
0.90909090909090906063, 	-0.18181818181818176772, 	5.2000000000000010658
