s, 	 Rs, 	 dRs
0.43434343434343436474, 	-0.34895326233517687253, 	1.1284004440903756539
0.44444444444444441977, 	-0.33751044277360070511, 	1.137373508960370927
0.45454545454545453032, 	-0.32597402597402597157, 	1.1469387755102040671
0.46464646464646464086, 	-0.31433784310696188946, 	1.1571335436460847834
0.4747474747474747514, 	-0.3025953403915043749, 	1.1679967175279171165
0.48484848484848486194, 	-0.29073956346683621499, 	1.1795686830651865851
0.49494949494949497248, 	-0.27876314327538737059, 	1.1918911292213592024
0.50505050505050508303, 	-0.26665828408566993879, 	1.2050068008470928849
0.51515151515151513806, 	-0.25441675441675448699, 	1.2189591687661185393
0.52525252525252530411, 	-0.24202988178143453046, 	1.2337920006550515684
0.53535353535353535914, 	-0.2294885523430727492, 	1.2495488139213626333
0.54545454545454541417, 	-0.21678321678321688104, 	1.2662721893491124536
0.55555555555555558023, 	-0.20390390390390389364, 	1.2840029218407595923
0.56565656565656563526, 	-0.19084024373953167864, 	1.3027789822713495838
0.57575757575757580131, 	-0.17758150222605195712, 	1.3226342624828733019
0.58585858585858585634, 	-0.16411662976548474502, 	1.3435970740490124076
0.59595959595959591137, 	-0.15043432632365447144, 	1.3656883709911964431
0.60606060606060607743, 	-0.13652312599681021288, 	1.3889196675900277178
0.61616161616161613246, 	-0.12237150426126811031, 	1.4132906253978188005
0.62626262626262629851, 	-0.10796801135571520991, 	1.438786289237085958
0.63636363636363635354, 	-0.093301435406698607355, 	1.4653739612188365626
0.6464646464646465196, 	-0.078360998953192706473, 	1.4929997156049554796
0.65656565656565657463, 	-0.063136592404885089058, 	1.5215845767218250106
0.66666666666666662966, 	-0.047619047619047671915, 	1.5510204081632652517
0.67676767676767679571, 	-0.031800454130551214504, 	1.5811655951377672213
0.68686868686868685074, 	-0.015674519538507236671, 	1.6118406436555354766
0.6969696969696970168, 	0.00076302594288210623397, 	1.6428238704000828196
0.70707070707070707183, 	0.017513982803238958841, 	1.6738474147940713976
0.71717171717171712686, 	0.034577198112637819172, 	1.7045938678904728469
0.72727272727272729291, 	0.051948051948051965354, 	1.7346938775510205577
0.73737373737373734794, 	0.069617926305824334721, 	1.7637251500868105225
0.747474747474747514, 	0.087573672939526642223, 	1.7912133169534900645
0.75757575757575756903, 	0.1057971014492753159, 	1.8166351606805291041
0.76767676767676762406, 	0.12426451392654164207, 	1.8394246844973891619
0.77777777777777779011, 	0.14294631710362043497, 	1.8589824517106428026
0.78787878787878784514, 	0.16180674671240702356, 	1.8746885012459952868
0.7979797979797980112, 	0.18080374095411694269, 	1.8859189557444329122
0.80808080808080806623, 	0.19988899988899982985, 	1.8920661755826593264
0.81818181818181823228, 	0.21900826446281002058, 	1.892561983471074516
0.82828282828282828731, 	0.23810184222083535799, 	1.8869031099288369191
0.83838383838383834235, 	0.25710539622064643162, 	1.8746776241697511445
0.8484848484848485084, 	0.27595099935525468915, 	1.8555907650520597763
0.85858585858585856343, 	0.29456843887981609686, 	1.8294883287317582621
0.86868686868686872948, 	0.31288673661555022054, 	1.7963756602899705328
0.87878787878787878451, 	0.33083583083583084639, 	1.7564303828040093158
0.88888888888888883955, 	0.348348348348348269, 	1.710007304601899758
0.8989898989898990056, 	0.36536138200749795901, 	1.6576344681103387657
0.90909090909090906063, 	0.38181818181818177882, 	1.6000000000000003109
0.91919191919191922668, 	0.39766966832318256797, 	1.537930216611602674
0.92929292929292928171, 	0.41287568560295828668, 	1.4723602315739909852
0.93939393939393944777, 	0.4274059274059274216, 	1.4042989977055908568
0.9494949494949495028, 	0.44124049208794968724, 	1.3347911988696656849
0.95959595959595955783, 	0.45437004778322143128, 	1.2648786259815700816
0.96969696969696972388, 	0.46679561573178596223, 	1.1955636034404706347
0.97979797979797977892, 	0.47852800413917989664, 	1.1277767011211836667
0.98989898989898994497, 	0.48958694496451937717, 	1.0623504338400469038
1, 	0.5, 	1
